stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_url,location_type,parent_station
39185,LEVENT TAKSI 2,41.3953985,27.3572753,0,,0,
39264,ORDUEVİ,41.4041967,27.3558385,0,,0,
39058,MİŞON,41.408093,27.366003,0,,0,
39096,ASKERI LOJMANLAR2,41.399871,27.354358,0,,0,
39098,SEYTAN DURAGI,41.396245,27.352848,0,,0,
39178,ZİRAAT BANKASI,41.4084923,27.3511158,0,,0,
39022,TOTAL BENZINLIK,41.401431,27.370574,0,,0,
39042,PINAR MARKET,41.405613,27.36857,0,,0,
39201,OZLEM MARKET 2,41.4129128,27.3649354,0,,0,
39109,AYDINKENT,41.3895136,27.349547,0,,0,
39140,NEFES HASTANESİ,41.39296,27.358394,0,,0,
39209,TOSUN KIRAATHANESİ 2,41.402379,27.372098,0,,0,
39233,MEDIKENT 2,41.4077948,27.332944,0,,0,
39256,HÜKÜMET KONAĞI,41.3897138,27.37091,0,,0,
39255,DOĞA KOLEJİ,41.3908298,27.3740549,0,,0,
39001,TERMINAL,41.4045373,27.347064,0,,0,
39295,LYSA,41.3967604,27.3725002,0,,0,
39004,DERMAN HASTANESI YANI,41.4038497,27.355189,0,,0,
39002,ONUR MARKET,41.4057141,27.35077,0,,0,
39020,HEAS LOJMANLARI,41.3997627,27.3763757,0,,0,
39402,DURAK MAHALLESİ CAMİSİ,41.3568291,27.3353357,0,,0,
39193,MEYDAN,41.3569063,27.3349273,0,,0,
39406,FİDANLIK,41.3560923,27.3257803,0,,0,
39046,ECZACIBASI SON DURAK,41.4037642,27.3751302,0,,0,
39029,KONGRE MEYDANI,41.4067234,27.3550605,0,,0,
39148,TOKİ KIZ YURDU,41.382753,27.3604126,0,,0,
39039,NOKTA,41.4036222,27.3640173,0,,0,
39083,CARIKCI PARKI,41.3937538,27.3628368,0,,0,
39301,ALYA3,41.3866935,27.3660363,0,,0,
39302,YENİ HASTANE,41.3984104,27.3736511,0,,0,
39405,ATATÜRK ANADOLU LİSESİ,41.40407,27.35505,0,,0,
39259,PAZARYERİ SON,41.4011989,27.345925,0,,0,
39257,ALYA KONUTLARI-1,41.3887007,27.3615173,0,,0,
39167,MEDIKENT,41.407823,27.332987,0,,0,
39258,SAKIZKÖY MEYDAN,41.4125432,27.3596633,0,,0,
39180,SİGORTA,41.401702,27.3637845,0,,0,
39085,LEVENT TAKSI,41.395453,27.3573157,0,,0,
39057,KUŞTEPE KÖŞE,41.4127917,27.3698981,0,,0,
39131,ADLİYE2,41.397221,27.3486003,0,,0,
39254,PAZAR YERİ,41.4004665,27.3454649,0,,0,
39088,DAMAK,41.3984353,27.3616865,0,,0,
39224,ŞOK MARKET 2,41.3942741,27.367255,0,,0,
39227,YILDIZ PARK,41.3991341,27.3701119,0,,0,
39195,İSTASYON ÇIKIŞ,41.361849,27.3368955,0,,0,
39149,TOKİ GİRİŞ,41.3843323,27.3553871,0,,0,
39189,SİGORTA 2,41.4017148,27.3638746,0,,0,
39290,ALYA 3,41.3874379,27.3672607,0,,0,
39291,MINIBUS GARAJI,41.3963037,27.3419168,0,,0,
39292,39 Burda,41.38645,27.3477409,0,,0,
39293,AKIM KOLEJI,41.3914787,27.3497499,0,,0,
39199,SEYTAN DURAGI 2,41.3961442,27.3530195,0,,0,
39051,NOKTA DONUS,41.403752,27.364022,0,,0,
39187,CARIKCI PARKI 2,41.3938141,27.3627523,0,,0,
