shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
391020,41.393657,27.36311,46
391020,41.391831,27.362256,47
391020,41.389952,27.361428,48
391020,41.38941,27.361144,49
391020,41.388376,27.360442,50
391020,41.387938,27.362199,51
391020,41.388254,27.362279,52
391020,41.390199,27.364292,53
391020,41.389997,27.365042,54
391020,41.389727,27.36542,55
391020,41.388237,27.366728,56
391020,41.386864,27.363828,57
391051,41.400381,27.345433,1
391051,41.40072,27.345724,2
391051,41.403417,27.34743,3
391051,41.404594,27.347747,4
391051,41.405014,27.34775,5
391051,41.406682,27.347828,6
391051,41.406866,27.34738,7
391051,41.407106,27.34701,8
391051,41.407322,27.346942,9
391051,41.40757,27.346967,10
391051,41.407616,27.347812,11
391051,41.407867,27.348157,12
391051,41.408196,27.348478,13
391051,41.408431,27.348906,14
391051,41.408523,27.34956,15
391051,41.408741,27.350323,16
391051,41.40898,27.351249,17
391051,41.409214,27.35202,18
391051,41.409205,27.352622,19
391051,41.409032,27.35355,20
391051,41.409282,27.353885,21
391051,41.409102,27.354161,22
391051,41.40913,27.354731,23
391051,41.4092,27.355283,24
391051,41.409241,27.355839,25
391051,41.409153,27.355912,26
391051,41.408854,27.356559,27
391051,41.406712,27.354901,28
391051,41.405894,27.357049,29
391051,41.405713,27.357638,30
391051,41.405561,27.358713,31
391051,41.405465,27.35921,32
391051,41.405286,27.359641,33
391051,41.4047,27.361374,34
391051,41.403854,27.36348,35
391051,41.403374,27.364902,36
391051,41.403574,27.365068,37
391051,41.40323,27.367515,38
391051,41.404541,27.368079,39
391051,41.405902,27.368733,40
391051,41.405643,27.369655,41
391051,41.405349,27.370576,42
391051,41.403783,27.369646,43
391051,41.403258,27.369374,44
391051,41.402748,27.370705,45
391051,41.402471,27.371355,46
391051,41.402267,27.372078,47
391051,41.403562,27.372644,48
391051,41.403421,27.373406,49
391051,41.403228,27.374791,50
391051,41.40368,27.375029,51
391070,41.400497,27.345437,1
391070,41.401264,27.34611,2
391070,41.401903,27.344036,3
391070,41.403894,27.345096,4
391070,41.403408,27.34754,5
391070,41.404051,27.347765,6
391070,41.404477,27.347255,7
391070,41.4044,27.346721,8
391070,41.403951,27.346465,9
391070,41.403735,27.347131,10
391070,41.403946,27.34741,11
391070,41.404584,27.347185,12
391070,41.404292,27.347748,13
391070,41.406655,27.347828,14
391070,41.40602,27.350017,15
391070,41.405606,27.351036,16
391070,41.405263,27.352158,17
391070,41.404576,27.353684,18
391070,41.403596,27.355563,19
391070,41.399264,27.354024,20
391070,41.397092,27.353124,21
391070,41.395001,27.352396,22
391070,41.394438,27.353585,23
391070,41.393103,27.354034,24
391070,41.393023,27.356242,25
391070,41.392778,27.359368,26
391070,41.391682,27.359204,27
391070,41.391162,27.354659,28
391070,41.389429,27.355122,29
391070,41.385978,27.35552,30
391070,41.386789,27.350773,31
391070,41.385705,27.350288,32
391070,41.384688,27.355463,33
391070,41.383334,27.35538,34
391070,41.382355,27.360096,35
391070,41.383572,27.360544,36
391070,41.383779,27.359749,37
391070,41.38523,27.360301,38
391070,41.386478,27.361375,39
391070,41.386696,27.361634,40
391070,41.389394,27.365627,41
391070,41.390054,27.365059,42
391070,41.391784,27.366781,43
391070,41.392931,27.368259,44
391070,41.394239,27.36963,45
391070,41.39554,27.371039,46
391070,41.396551,27.372513,47
391061,41.400392,27.345469,1
391061,41.403345,27.347425,2
391061,41.404404,27.347726,3
391061,41.406691,27.347831,4
391061,41.406917,27.347271,5
391061,41.407052,27.347058,6
391061,41.407227,27.346953,7
391061,41.407557,27.346946,8
391061,41.407604,27.347841,9
391061,41.408145,27.348414,10
391061,41.408413,27.348862,11
391061,41.408517,27.349525,12
391061,41.408815,27.350681,13
391061,41.409211,27.35202,14
391061,41.409213,27.352594,15
391061,41.409034,27.35355,16
391061,41.409291,27.353891,17
391061,41.40908,27.354175,18
391061,41.409232,27.355872,19
391061,41.409146,27.355917,20
391061,41.408849,27.356555,21
391061,41.408175,27.356056,22
391061,41.407639,27.355587,23
391061,41.406712,27.354898,24
391061,41.406557,27.35531,25
391061,41.406393,27.35563,26
391061,41.404312,27.355708,27
391061,41.403733,27.35571,28
391061,41.403187,27.355546,29
391061,41.402028,27.355102,30
391061,41.401038,27.354753,31
391061,41.399876,27.354292,32
391061,41.400347,27.349509,33
391061,41.397308,27.348096,34
391061,41.396148,27.347779,35
391061,41.394974,27.347394,36
391061,41.391984,27.34633,37
391061,41.391891,27.348325,38
391061,41.391788,27.348476,39
391061,41.391457,27.349317,40
391061,41.391179,27.350343,41
391061,41.389993,27.349664,42
391061,41.387586,27.348338,43
391061,41.387186,27.348141,44
391061,41.386799,27.347879,45
391061,41.386126,27.34754,46
999990,41.4943945,27.3694695,1
391081,41.40038,27.345448,1
391081,41.403455,27.34747,2
391081,41.404273,27.34773,3
391081,41.406685,27.347829,4
391081,41.406961,27.347158,5
391081,41.407258,27.346948,6
391081,41.407569,27.346989,7
391081,41.407619,27.347826,8
391081,41.408014,27.348275,9
391081,41.408417,27.348857,10
391081,41.408526,27.349571,11
391081,41.409201,27.352005,12
391081,41.409196,27.352659,13
391081,41.409058,27.353468,14
391081,41.409095,27.353651,15
391081,41.409293,27.353873,16
391081,41.409089,27.354187,17
391081,41.409207,27.355836,18
391081,41.409137,27.355918,19
391081,41.408854,27.356547,20
391081,41.407767,27.355699,21
391081,41.406708,27.354915,22
391081,41.405698,27.357618,23
391081,41.405497,27.359074,24
391081,41.404755,27.361194,25
391081,41.404009,27.36307,26
391081,41.402824,27.366339,27
391081,41.402682,27.366434,28
391081,41.402548,27.366449,29
391081,41.402432,27.366393,30
391081,41.402384,27.366267,31
391081,41.402368,27.36572,32
391081,41.401988,27.36574,33
391081,41.401145,27.365498,34
391081,41.39995,27.365109,35
391081,41.399563,27.367615,36
391081,41.399216,27.370063,37
391081,41.395407,27.368352,38
391081,41.394207,27.367151,39
391081,41.392965,27.368401,40
391081,41.391524,27.369563,41
391081,41.389302,27.371195,42
391081,41.391332,27.374718,43
999991,41.4943945,27.3694695,1
999991,41.4964517,27.3718727,2
